id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14831696,Luxurious & spacecious apartm. with garden 6sleep,5476119,Arthur,,De Baarsjes - Oud-West,52.36117305,4.866754582,Entire home/apt,145,3,4,31/12/2016,0.68,1,241
3951251,Great app near Jordaan +2 bikes,3526186,Dirk & Arjenne,,De Baarsjes - Oud-West,52.37023656,4.859506674,Entire home/apt,88,2,17,23/02/2017,0.56,1,47
16590973,"Trendy apartment, near Vondelpark",12749039,Sheryl,,De Baarsjes - Oud-West,52.36201576,4.86687246,Entire home/apt,130,2,4,26/03/2017,2.4,1,129
9283701,Modern apartment in Amsterdam West,46755996,Christie,,De Baarsjes - Oud-West,52.36582593,4.858177973,Entire home/apt,110,4,2,09/08/2016,0.24,2,0
6458721,(Balcony with) canal view Oud-West,15317293,Erwin,,De Baarsjes - Oud-West,52.36417929,4.86488485,Entire home/apt,115,3,10,11/12/2016,0.46,1,3
14864447,Nicest and coziest place next to Vondelpark&Leidse,11831975,Ruben,,De Baarsjes - Oud-West,52.35975308,4.866176048,Private room,70,1,11,01/11/2016,1.59,1,188
16306240,Adorable house with garden in popular 'Old West',1954292,Cécile,,De Baarsjes - Oud-West,52.36787039,4.864128893,Entire home/apt,120,2,3,01/02/2017,0.98,1,19
15211538,Very quiet room | King Bed | Close to the center,96012374,Kosma,,De Baarsjes - Oud-West,52.3734097,4.865153998,Private room,45,1,33,02/04/2017,5.27,1,4
1261425,"Lovely Budget B&B, 1 or 2 persons",5476779,Janine,,De Baarsjes - Oud-West,52.37364212,4.860512821,Private room,45,1,2,04/07/2013,0.04,3,0
5978154,Charming apartment canal view ,3849885,Ayten,,De Baarsjes - Oud-West,52.36869081,4.873708175,Entire home/apt,240,2,13,09/08/2016,0.56,1,89
10691231,Lovely apartment in West Amsterdam,55234825,Joshua,,De Baarsjes - Oud-West,52.37142387,4.848644115,Entire home/apt,130,3,0,,,1,0
8024854,Your 'own' place in old Amsterdam,42374252,Rochelle And Thijs,,De Baarsjes - Oud-West,52.36984071,4.871609848,Entire home/apt,185,3,18,28/03/2017,1.45,1,44
6606330,Central Amsterdam Beautiful Apt close 2 Vondelpark,33889727,Kris,,De Baarsjes - Oud-West,52.35825578,4.855552858,Entire home/apt,145,4,4,25/10/2016,0.18,1,236
1551034,Twilight Twinkle luxury apartment.,8261153,Jose,,De Baarsjes - Oud-West,52.36690303,4.875590282,Entire home/apt,300,1,44,24/10/2016,1.02,1,29
